UserID is: 1, Gender is: F,  Occupation id is: 10, Zip-code is: 48067, 
UserID is: 2, Gender is: M,  Occupation id is: 16, Zip-code is: 70072, 
UserID is: 3, Gender is: M,  Occupation id is: 15, Zip-code is: 55117, 
UserID is: 4, Gender is: M,  Occupation id is: 7, Zip-code is: 02460, 
UserID is: 5, Gender is: M,  Occupation id is: 20, Zip-code is: 55455, 
UserID is: 6, Gender is: F,  Occupation id is: 9, Zip-code is: 55117, 
UserID is: 7, Gender is: M,  Occupation id is: 1, Zip-code is: 06810, 
UserID is: 8, Gender is: M,  Occupation id is: 12, Zip-code is: 11413, 
UserID is: 9, Gender is: M,  Occupation id is: 17, Zip-code is: 61614, 
UserID is: 10, Gender is: F,  Occupation id is: 1, Zip-code is: 95370, 
UserID is: 11, Gender is: F,  Occupation id is: 1, Zip-code is: 04093, 
UserID is: 12, Gender is: M,  Occupation id is: 12, Zip-code is: 32793, 
UserID is: 13, Gender is: M,  Occupation id is: 1, Zip-code is: 93304, 
UserID is: 14, Gender is: M,  Occupation id is: 0, Zip-code is: 60126, 
UserID is: 15, Gender is: M,  Occupation id is: 7, Zip-code is: 22903, 
UserID is: 16, Gender is: F,  Occupation id is: 0, Zip-code is: 20670, 
UserID is: 17, Gender is: M,  Occupation id is: 1, Zip-code is: 95350, 
UserID is: 18, Gender is: F,  Occupation id is: 3, Zip-code is: 95825, 
UserID is: 19, Gender is: M,  Occupation id is: 10, Zip-code is: 48073, 
UserID is: 20, Gender is: M,  Occupation id is: 14, Zip-code is: 55113, 
UserID is: 21, Gender is: M,  Occupation id is: 16, Zip-code is: 99353, 
UserID is: 22, Gender is: M,  Occupation id is: 15, Zip-code is: 53706, 
UserID is: 23, Gender is: M,  Occupation id is: 0, Zip-code is: 90049, 
UserID is: 24, Gender is: F,  Occupation id is: 7, Zip-code is: 10023, 
UserID is: 25, Gender is: M,  Occupation id is: 4, Zip-code is: 01609, 
UserID is: 26, Gender is: M,  Occupation id is: 7, Zip-code is: 23112, 
UserID is: 27, Gender is: M,  Occupation id is: 11, Zip-code is: 19130, 
UserID is: 28, Gender is: F,  Occupation id is: 1, Zip-code is: 14607, 
UserID is: 29, Gender is: M,  Occupation id is: 7, Zip-code is: 33407, 
UserID is: 30, Gender is: F,  Occupation id is: 7, Zip-code is: 19143, 
UserID is: 31, Gender is: M,  Occupation id is: 7, Zip-code is: 06840, 
UserID is: 32, Gender is: F,  Occupation id is: 0, Zip-code is: 19355, 
UserID is: 33, Gender is: M,  Occupation id is: 3, Zip-code is: 55421, 
UserID is: 34, Gender is: F,  Occupation id is: 0, Zip-code is: 02135, 
UserID is: 35, Gender is: M,  Occupation id is: 1, Zip-code is: 02482, 
UserID is: 36, Gender is: M,  Occupation id is: 3, Zip-code is: 94123, 
UserID is: 37, Gender is: F,  Occupation id is: 9, Zip-code is: 66212, 
UserID is: 38, Gender is: F,  Occupation id is: 4, Zip-code is: 02215, 
UserID is: 39, Gender is: M,  Occupation id is: 4, Zip-code is: 61820, 
UserID is: 40, Gender is: M,  Occupation id is: 0, Zip-code is: 10543, 
UserID is: 41, Gender is: F,  Occupation id is: 4, Zip-code is: 15116, 
UserID is: 42, Gender is: M,  Occupation id is: 8, Zip-code is: 24502, 
UserID is: 43, Gender is: M,  Occupation id is: 12, Zip-code is: 60614, 
UserID is: 44, Gender is: M,  Occupation id is: 17, Zip-code is: 98052, 
UserID is: 45, Gender is: F,  Occupation id is: 16, Zip-code is: 94110, 
UserID is: 46, Gender is: M,  Occupation id is: 19, Zip-code is: 75602, 
UserID is: 47, Gender is: M,  Occupation id is: 4, Zip-code is: 94305, 
UserID is: 48, Gender is: M,  Occupation id is: 4, Zip-code is: 92107, 
UserID is: 49, Gender is: M,  Occupation id is: 12, Zip-code is: 77084, 
UserID is: 50, Gender is: F,  Occupation id is: 2, Zip-code is: 98133, 
UserID is: 51, Gender is: F,  Occupation id is: 10, Zip-code is: 10562, 
UserID is: 52, Gender is: M,  Occupation id is: 4, Zip-code is: 72212, 
UserID is: 53, Gender is: M,  Occupation id is: 0, Zip-code is: 96931, 
UserID is: 54, Gender is: M,  Occupation id is: 1, Zip-code is: 56723, 
UserID is: 55, Gender is: F,  Occupation id is: 12, Zip-code is: 55303, 
UserID is: 56, Gender is: M,  Occupation id is: 20, Zip-code is: 60440, 
UserID is: 57, Gender is: M,  Occupation id is: 19, Zip-code is: 30350, 
UserID is: 58, Gender is: M,  Occupation id is: 2, Zip-code is: 30303, 
UserID is: 59, Gender is: F,  Occupation id is: 1, Zip-code is: 55413, 
UserID is: 60, Gender is: M,  Occupation id is: 1, Zip-code is: 72118, 
UserID is: 61, Gender is: M,  Occupation id is: 17, Zip-code is: 95122, 
UserID is: 62, Gender is: F,  Occupation id is: 3, Zip-code is: 98105, 
UserID is: 63, Gender is: M,  Occupation id is: 4, Zip-code is: 54902, 
UserID is: 64, Gender is: M,  Occupation id is: 1, Zip-code is: 53706, 
UserID is: 65, Gender is: M,  Occupation id is: 12, Zip-code is: 55803, 
UserID is: 66, Gender is: M,  Occupation id is: 18, Zip-code is: 57706, 
UserID is: 67, Gender is: F,  Occupation id is: 5, Zip-code is: 60181, 
UserID is: 68, Gender is: M,  Occupation id is: 4, Zip-code is: 53706, 
UserID is: 69, Gender is: F,  Occupation id is: 1, Zip-code is: 02143, 
UserID is: 70, Gender is: M,  Occupation id is: 4, Zip-code is: 53703, 
UserID is: 71, Gender is: M,  Occupation id is: 14, Zip-code is: 95008, 
UserID is: 72, Gender is: F,  Occupation id is: 0, Zip-code is: 55122, 
